time,A,B,C
4/22/2015 8:45,354.6168823,1551.601196,607.1516113
4/22/2015 9:00,711.7457886,2809.617432,1128.725464
4/22/2015 9:15,916.9700928,3731.319092,1247.373901
4/22/2015 9:30,933.6629028,3757.13916,1247.373901
4/22/2015 9:45,933.6629028,3733.310303,1247.373901
4/22/2015 10:00,933.8354492,3695.726807,1177.432861
4/22/2015 10:15,920.2094727,3678.98291,1177.432861
4/22/2015 10:30,920.2094727,3664.596436,1177.432861
4/22/2015 10:45,920.0447998,3599.246826,1221.476685
4/22/2015 11:00,910.8476563,3574.439453,1249.745239
4/22/2015 11:15,920.0455322,3489.922119,1249.745239
4/22/2015 11:30,920.0455322,3449.758545,1249.745239
4/22/2015 11:45,935.1781616,3423.555908,1245.032227
4/22/2015 12:00,945.269043,3410.943848,1245.032227
4/22/2015 12:15,943.9857178,3394.227295,1236.015747
4/22/2015 12:30,943.9857178,3375.216553,1222.84021
4/22/2015 12:45,889.4508667,3355.963379,1214.710327
4/22/2015 13:00,885.3242798,3351.367188,1190.893677
4/22/2015 13:15,875.4455566,3351.367188,1137.099243
4/22/2015 13:30,872.1110229,3319.973389,1119.271484
4/22/2015 13:45,878.4700317,3276.751953,1119.271484
4/22/2015 14:00,883.6135864,3284.441406,1128.343628
4/22/2015 14:15,894.5931396,3197.348145,1047.863892
4/22/2015 14:30,923.1791382,3177.013184,1047.863892
4/22/2015 14:45,932.7722778,3161.177246,1060.210693
4/22/2015 15:00,933.0494995,3138.025635,1042.213379
4/22/2015 15:15,933.0494995,3129.852539,1040.423096
4/22/2015 15:30,933.0494995,3115.402832,1040.423096
4/22/2015 15:45,913.4072266,3115.402832,1040.423096
4/22/2015 16:00,905.8389282,3133.450439,1001.129883
4/22/2015 16:15,896.4803467,3145.414307,998.8075562
4/22/2015 16:30,907.0786133,3093.006592,998.8075562
4/22/2015 16:45,907.0786133,3093.006592,974.8700562
4/22/2015 17:00,959.3664551,3068.039063,974.8792725
4/22/2015 17:15,996.4002686,3068.039063,1070.098877
4/22/2015 17:30,1005.713806,3102.596436,1070.098877
4/22/2015 17:45,1005.713806,3101.144775,979.2849731
4/22/2015 18:00,990.822937,3102.293457,991.1299438
4/22/2015 18:15,971.5894165,3122.279785,976.5355835
4/22/2015 18:30,968.9959717,3108.970215,976.5355835
4/22/2015 18:45,959.8734741,3130.99585,984.7608643
4/22/2015 19:00,973.9030151,3144.586914,981.9960327
4/22/2015 19:15,975.4807739,3143.088623,1013.319885
4/22/2015 19:30,972.4486084,3180.851074,1017.21936
4/22/2015 19:45,957.848877,3234.829834,1039.079346
4/22/2015 20:00,952.7825928,3247.617432,1075.04248
4/22/2015 20:15,942.8804932,3302.083252,1079.970215
4/22/2015 20:30,942.8804932,3305.147949,1117.756836
4/22/2015 20:45,869.7272949,3305.147949,1145.725952
4/22/2015 21:00,859.0787354,3303.655762,1192.796387
4/22/2015 21:15,847.8676758,3278.62915,1192.796387
4/22/2015 21:30,829.8840942,3253.365479,1192.796387
4/22/2015 21:45,815.7886963,3227.605225,1185.294189
4/22/2015 22:00,809.1370239,3227.605225,1146.841553
4/22/2015 22:15,798.9348145,3156.387695,1102
4/22/2015 22:30,798.9348145,3027.688477,1094.951172
4/22/2015 22:45,779.3469849,2962.206299,1060.806274
4/22/2015 23:00,757.3276978,2871.147705,1094.951172
4/22/2015 23:15,747.517334,2789.412109,1111.651855
4/22/2015 23:30,730.4192505,2759.770996,1130.680176
4/22/2015 23:45,714.3683472,2734.691895,1144.697144
4/23/2015 0:00,711.0789795,2595.888916,1144.697144
4/23/2015 0:15,701.9899902,2512.672119,1105.465088
4/23/2015 0:30,705.0977173,2432.201172,1103.591919
4/23/2015 0:45,708.359436,2358.261719,1103.591919
4/23/2015 1:00,701.6636353,2323.175781,1079.759888
4/23/2015 1:15,705.6738892,2219.503662,1087.987305
4/23/2015 1:30,705.6738892,2148.465576,1097.530884
4/23/2015 1:45,694.5175781,2090.289795,1079.759888
4/23/2015 2:00,684.5213013,2066.26123,1068.988159
4/23/2015 2:15,689.2432861,2036.61377,1066.181519
4/23/2015 2:30,686.8900757,2022.740356,1060.129517
4/23/2015 2:45,688.434021,1990.255493,1026.071533
4/23/2015 3:00,691.8291626,1937.234497,974.6004028
4/23/2015 3:15,693.0012207,1936.849854,938.5839233
4/23/2015 3:30,701.1055298,1914.32312,938.5839233
4/23/2015 3:45,784.0666504,1914.32312,937.480896
4/23/2015 4:00,808.4015503,1875.687378,931.3514404
4/23/2015 4:15,817.1433105,1934.912476,933.4448242
4/23/2015 4:30,833.5656128,1981.816406,943.2214355
4/23/2015 4:45,867.5352783,1987.871338,937.1866455
4/23/2015 5:00,967.9575195,1980.596558,923.0477905
4/23/2015 5:15,1065.790527,2046.53479,964.7980347
4/23/2015 5:30,1099.671021,2062.635498,981.9941406
4/23/2015 5:45,1099.671021,2076.958496,1026.693237
4/23/2015 6:00,1106.84436,2202.187988,1129.776489
4/23/2015 6:15,1101.868164,2283.352539,1236.988037
4/23/2015 6:30,1093.751221,2507.43457,1269.215332
4/23/2015 6:45,1091.774292,2789.182861,1297.442017
4/23/2015 7:00,1087.309692,3005.313721,1310.560059
4/23/2015 7:15,1076.90564,3325.712158,1368.172607
4/23/2015 7:30,1031.511475,3484.872314,1416.881226
4/23/2015 7:45,1038.323608,3602.177979,1618.254883
4/23/2015 8:00,959.4274902,3690.984619,1642.385864
4/23/2015 8:15,944.2630005,3760.261475,1686.622437
4/23/2015 8:30,944.2630005,3818.270508,1699.085693
4/23/2015 8:45,941.7037354,3829.220459,1730.12439
4/23/2015 9:00,944.2630005,3832.367188,1808.405151
4/23/2015 9:15,969.2054443,3828.40332,1827.103516
4/23/2015 9:30,966.5785522,3812.691406,1832.78894
4/23/2015 9:45,962.927063,3736.632568,1843.75769
4/23/2015 10:00,960.3025513,3736.632568,1852.984619
